consumer_id,first_name,last_name,dob,state,zip_code,employment_status,annual_income
1,Jessica,Cooper,1995-02-01,IL,21395,Self-Employed,76554
2,Linda,Sanchez,1957-01-03,WI,95181,Part-Time,30018
3,Daniel,Diaz,1981-04-15,TX,54597,Retired,46733
4,Kevin,King,1968-06-04,CO,15695,Full-Time,79682
5,Timothy,Harris,1989-02-13,WI,19116,Full-Time,102642
6,Emily,Collins,1969-05-03,NV,93320,Part-Time,72294
7,Christine,Perez,1965-06-12,FL,80010,Part-Time,59200
8,Paul,Adams,1965-08-13,MD,17331,Self-Employed,199865
9,Brian,Ramirez,1957-06-13,MN,95909,Self-Employed,46960
10,Justin,King,1996-08-05,MD,86622,Self-Employed,59122
11,Brenda,Murphy,1992-07-12,IL,21915,Part-Time,81021
12,Samuel,Rodriguez,1962-03-21,TN,60432,Part-Time,67331
13,Thomas,Morgan,1984-09-09,TX,44973,Retired,101671
14,Kimberly,Cook,1976-02-10,TX,33416,Unemployed,12092
15,Deborah,Lee,1961-11-10,IL,80697,Retired,77925
16,Timothy,Flores,1988-01-20,NY,41385,Self-Employed,116913
17,Charles,Taylor,1991-02-03,MD,96474,Unemployed,33275
18,Sandra,Cooper,1990-03-09,TN,36365,Retired,102770
19,Amy,Thomas,1980-11-21,MA,42493,Self-Employed,108549
20,James,Martinez,1976-01-19,PA,92719,Retired,42199
21,Emily,Morales,1959-01-28,PA,38080,Self-Employed,47733
22,Ryan,Harris,2001-10-19,VA,22363,Unemployed,14824
23,Joseph,Davis,1982-06-14,CA,62772,Unemployed,22038
24,Jacob,White,1961-04-07,IL,46509,Part-Time,50270
25,Maria,Lopez,1959-08-26,MD,40982,Retired,29732
26,Jason,Smith,1986-08-07,GA,61173,Unemployed,36058
27,Lisa,Harris,1984-05-14,VA,48890,Retired,82914
28,Patricia,Miller,1958-10-24,WA,86569,Retired,26248
29,David,Rodriguez,1988-03-02,GA,98501,Retired,28054
30,Debra,Hernandez,1980-02-19,CA,64948,Part-Time,53113
31,Mark,King,1991-09-11,WA,61876,Self-Employed,69825
32,Maria,Collins,1996-05-15,FL,91416,Self-Employed,189845
33,Kevin,Rodriguez,1961-02-18,IL,42018,Part-Time,48242
34,Pamela,Johnson,1965-08-27,WI,97538,Retired,86843
35,Scott,Martin,1974-11-04,NY,45697,Part-Time,32139
36,Stephen,Morales,1968-12-11,AZ,42914,Part-Time,60356
37,James,Nelson,1958-02-21,CA,27146,Unemployed,33705
38,Helen,Johnson,1971-03-24,TN,24663,Unemployed,24764
39,Scott,Jackson,1999-03-18,MN,66333,Full-Time,140334
40,Dorothy,Wilson,1974-06-26,OH,56357,Full-Time,148916
41,Daniel,Thompson,1981-10-24,PA,64040,Part-Time,76248
42,Kenneth,Lee,2002-06-26,PA,24168,Unemployed,32831
43,Kevin,Flores,1957-08-08,MO,39831,Part-Time,68966
44,Emily,Hall,1997-04-13,FL,94080,Self-Employed,82136
45,Matthew,King,1998-09-11,AZ,15014,Full-Time,44386
46,Thomas,Roberts,1982-06-24,MA,85574,Self-Employed,108266
47,Margaret,Campbell,1957-12-14,MD,66531,Full-Time,98357
48,Edward,Cook,1997-06-20,NY,50538,Self-Employed,145856
49,Cynthia,Carter,1975-07-23,OH,98777,Self-Employed,127810
50,Edward,Torres,1966-10-19,TX,37549,Self-Employed,103246
51,Sandra,Rogers,1992-10-21,MO,72021,Self-Employed,113002
52,Ronald,Lopez,2002-03-22,WI,40784,Full-Time,66857
53,Raymond,Martinez,1969-04-05,VA,69692,Full-Time,35164
54,Christopher,Smith,1995-10-07,PA,23970,Unemployed,22918
55,Dorothy,Thomas,1969-03-26,MD,69829,Retired,64307
56,Raymond,Cook,1984-11-17,MO,65933,Retired,76651
57,Emily,Gutierrez,1990-08-06,PA,73517,Unemployed,21492
58,Brian,Cooper,1972-08-03,WA,20561,Self-Employed,74832
59,Cynthia,Evans,1969-07-23,FL,53369,Part-Time,61618
60,Robert,Carter,1981-01-07,MN,72518,Unemployed,19541
61,Justin,Cooper,1977-05-25,TN,89069,Unemployed,34481
62,Amanda,Phillips,1986-04-09,NV,31632,Unemployed,22637
63,Brandon,Brown,1963-10-18,MN,21003,Full-Time,149984
64,Sandra,Collins,1963-08-06,WA,52840,Full-Time,63704
65,Eric,Williams,1979-05-25,FL,80702,Unemployed,15123
66,Linda,Young,1977-04-21,CA,36130,Full-Time,133216
67,Brandon,Ramirez,1994-03-08,NY,70952,Part-Time,46086
68,Daniel,Flores,1978-03-20,NY,24168,Retired,111380
69,Jennifer,Young,1974-10-22,OH,23356,Unemployed,19772
70,Barbara,Hall,1974-11-20,MN,79827,Full-Time,135216
71,Jonathan,Wilson,1978-02-17,TN,66822,Self-Employed,38095
72,Kenneth,Morgan,1995-08-23,MA,73372,Part-Time,43546
73,Emily,Edwards,2001-10-09,FL,41963,Self-Employed,177043
74,Carol,White,1991-10-22,VA,73904,Unemployed,17831
75,Helen,Johnson,1971-06-09,AZ,77715,Retired,86621
76,Eric,Morales,1960-04-24,PA,68743,Unemployed,22732
77,Benjamin,Mitchell,1960-05-08,NC,72031,Unemployed,29275
78,Kenneth,Flores,1977-07-24,MO,42951,Retired,51693
79,Anthony,Ramirez,2001-04-11,GA,73464,Full-Time,128100
80,Donna,Robinson,1992-09-20,OH,57301,Self-Employed,198372
81,Scott,Nguyen,1955-12-18,CA,26551,Part-Time,32796
82,Shirley,Cruz,1986-02-28,VA,54657,Full-Time,105580
83,Sharon,Morales,1958-05-28,FL,19710,Unemployed,10673
84,Richard,Young,1998-01-05,NC,25525,Part-Time,68603
85,Jason,Edwards,1981-10-20,MA,68028,Retired,41782
86,Joseph,Clark,1992-07-10,WI,91987,Retired,79062
87,Daniel,Smith,1997-02-06,FL,63545,Part-Time,26093
88,Nicholas,Martinez,1993-08-10,NC,40595,Full-Time,59878
89,Paul,Martin,1995-10-22,MD,44816,Part-Time,42856
90,Steven,Cruz,1959-01-06,MN,26299,Self-Employed,134539
91,Gary,Hernandez,1974-12-13,VA,88385,Self-Employed,118878
92,Ashley,Williams,1982-12-11,FL,98117,Retired,44109
93,Emily,White,1991-01-25,MO,86720,Part-Time,45882
94,Jessica,Lee,1986-02-16,WA,53228,Self-Employed,103622
95,Michael,Collins,1986-05-22,MD,21542,Unemployed,33196
96,Emma,Reyes,1975-02-25,TX,64165,Unemployed,34850
97,Donald,Wright,1988-06-20,CA,81987,Unemployed,27138
98,Mark,Lee,1973-08-23,WI,50730,Unemployed,10909
99,Angela,Thomas,1990-07-03,NY,94896,Part-Time,80683
100,Shirley,Stewart,1986-12-10,TN,41946,Retired,87020
101,David,Scott,1964-07-07,IL,64387,Retired,68427
102,Katherine,Morales,1987-05-27,NC,29476,Full-Time,66730
103,Nicholas,Adams,1985-06-11,NV,34727,Retired,92438
104,Barbara,Green,1970-10-13,TN,71993,Part-Time,71596
105,Charles,Cook,1979-07-22,CA,87356,Part-Time,47538
106,Christopher,Evans,1961-08-04,TX,95823,Retired,106354
107,Richard,Nelson,1959-08-26,NV,98389,Self-Employed,92065
108,Debra,Rodriguez,1979-06-21,CA,40771,Unemployed,35090
109,Joseph,Cruz,1973-04-24,NY,31805,Full-Time,86891
110,Kathleen,Jackson,1956-01-11,CO,42007,Full-Time,68135
111,Raymond,Carter,1991-11-26,FL,91226,Part-Time,25837
112,Nicholas,Allen,1986-10-05,AZ,97404,Part-Time,45258
113,Kevin,Hill,1984-05-22,MO,93746,Retired,35397
114,Shirley,Wilson,1999-05-15,NV,41091,Self-Employed,68990
115,Emily,Johnson,1977-10-10,NV,84177,Self-Employed,39633
116,Ashley,Rivera,2002-01-20,NC,38705,Unemployed,33817
117,Michelle,Cruz,1994-05-22,CA,14373,Part-Time,56404
118,Matthew,Sanchez,2001-03-03,TN,27322,Self-Employed,90104
119,Shirley,Nguyen,1978-09-17,AZ,54396,Self-Employed,173526
120,Helen,Campbell,1984-02-05,NV,21836,Part-Time,71871
121,Benjamin,Carter,1955-05-18,AZ,93695,Full-Time,89668
122,Carol,Lewis,1961-11-08,MD,94889,Unemployed,7805
123,Michael,Hill,1984-12-10,CA,74569,Unemployed,10756
124,Cynthia,Martin,1970-09-05,MD,64379,Unemployed,21607
125,Sandra,Cruz,1986-10-14,CO,68287,Self-Employed,41417
126,Patricia,Gomez,1978-02-22,CO,46160,Self-Employed,126163
127,Robert,Miller,1962-08-03,WI,53713,Part-Time,57301
128,Donald,Ramirez,1963-10-07,MD,40539,Full-Time,139697
129,Charles,Cooper,1964-10-01,IL,42853,Self-Employed,178152
130,Mark,Adams,1962-11-28,CO,12068,Full-Time,46582
131,Eric,Edwards,1958-03-24,FL,57453,Unemployed,23939
132,Larry,Hill,1961-08-17,CA,70036,Part-Time,77559
133,Jonathan,Cruz,1956-01-16,NY,19632,Unemployed,20726
134,Benjamin,Adams,1975-10-05,WI,59925,Full-Time,45833
135,Thomas,Ramirez,1988-05-15,NY,66370,Retired,77591
136,Brian,Diaz,1969-07-11,NY,50963,Unemployed,19839
137,Susan,Parker,1978-03-22,FL,22656,Unemployed,9161
138,Helen,Nelson,1978-03-18,MD,97819,Full-Time,107234
139,Steven,Flores,1977-11-25,CA,56090,Unemployed,34952
140,Kevin,Mitchell,1987-04-05,NY,25058,Unemployed,14220
141,Raymond,Brown,1991-04-26,WI,89822,Unemployed,34213
142,Amanda,Hall,1999-05-01,NC,10800,Part-Time,32727
143,Susan,Ortiz,1964-10-22,TX,38197,Unemployed,9240
144,Brandon,Hernandez,1984-06-06,WA,16895,Self-Employed,87607
145,Jonathan,Cruz,1994-01-22,TN,64287,Full-Time,65298
146,Jonathan,Ortiz,1987-02-12,MN,97442,Unemployed,10570
147,Sandra,Moore,1969-07-20,NC,43491,Full-Time,30025
148,Justin,Robinson,1962-01-16,NV,75570,Unemployed,12657
149,Kathleen,Williams,1997-06-03,CA,70260,Unemployed,34748
150,Donna,Anderson,1975-10-14,TN,63088,Retired,58637
151,Susan,Parker,1975-03-26,CO,23875,Retired,63887
152,Amanda,Lewis,1992-07-17,NC,53655,Full-Time,81795
153,Kevin,Hall,1959-09-21,OH,94599,Full-Time,99782
154,Lisa,Martinez,1970-02-05,WI,33218,Self-Employed,68668
155,Brandon,Adams,1995-08-15,MO,92210,Retired,92156
156,Katherine,Davis,1983-02-16,AZ,56129,Unemployed,27330
157,Jennifer,Lopez,1974-08-15,NC,90610,Full-Time,36589
158,Amy,Harris,1979-08-19,CA,52143,Retired,110484
159,Richard,Cook,1987-03-02,WA,94689,Unemployed,10332
160,Daniel,Campbell,1970-12-15,WI,58870,Unemployed,23875
161,Ronald,Rodriguez,1979-07-25,CA,53213,Self-Employed,148425
162,Lisa,Nelson,1998-07-10,WI,20682,Self-Employed,155850
163,Michelle,Carter,1964-06-10,FL,94343,Unemployed,11152
164,Brenda,Campbell,1963-11-23,TN,12389,Retired,29312
165,Lisa,Martinez,1966-04-11,IL,48770,Unemployed,13182
166,Michael,Baker,1961-09-25,MA,91006,Retired,99251
167,Nancy,Cruz,1979-03-06,WI,15726,Part-Time,69950
168,Ashley,Morgan,1998-12-08,MO,41348,Unemployed,26661
169,Steven,Carter,1985-04-12,MO,75916,Retired,113332
170,William,Morris,1965-04-26,AZ,58655,Retired,33550
171,Richard,Lee,1961-12-28,NC,45755,Retired,100764
172,Amy,Hall,1987-03-27,PA,13495,Unemployed,9953
173,Deborah,Lewis,1980-09-12,FL,13694,Part-Time,40257
174,Michael,Torres,1961-12-21,IL,71925,Self-Employed,167052
175,Robert,Allen,1963-12-16,FL,38266,Unemployed,26814
176,Mark,Hill,1990-12-20,NC,25970,Retired,60412
177,Anna,Morgan,1981-11-26,NY,12154,Retired,63605
178,Raymond,Rivera,1991-04-23,TX,41531,Part-Time,33927
179,David,Ortiz,1966-11-22,CO,81313,Full-Time,98832
180,Stephanie,Mitchell,1987-09-01,CA,43246,Unemployed,35121
181,Benjamin,Nelson,1977-02-12,NY,27486,Part-Time,63387
182,Shirley,White,1989-06-27,MO,27675,Part-Time,69886
183,Barbara,Green,1984-01-10,OH,50642,Part-Time,17421
184,Steven,Rivera,1989-08-09,OH,16265,Full-Time,129489
185,Gary,Roberts,1976-05-04,NV,54438,Self-Employed,108359
186,Kenneth,Hernandez,1986-12-16,MA,65640,Self-Employed,189065
187,Carol,Nguyen,1993-03-18,FL,50173,Self-Employed,89192
188,Melissa,Parker,2000-07-06,CA,45986,Unemployed,18319
189,Linda,Jackson,1958-02-22,GA,89635,Unemployed,18698
190,Timothy,Roberts,1983-01-05,CO,84349,Full-Time,60481
191,Samantha,Moore,1964-11-15,FL,79397,Self-Employed,97605
192,Betty,Murphy,1975-11-09,TX,77861,Part-Time,78566
193,Raymond,Torres,1990-02-09,OH,74382,Self-Employed,152588
194,Susan,Green,1963-02-15,MO,97535,Part-Time,74441
195,Matthew,Campbell,1959-09-18,GA,76683,Self-Employed,183604
196,Samantha,Mitchell,1967-03-08,MD,71263,Unemployed,7846
197,Shirley,Ortiz,1990-03-20,NV,63843,Full-Time,37770
198,Angela,Gutierrez,1991-02-05,MO,55156,Self-Employed,142371
199,Kathleen,Cook,1990-11-19,IL,17263,Part-Time,65711
200,Kevin,Gutierrez,1988-03-10,PA,47230,Part-Time,25303
201,Raymond,Morgan,1971-04-21,NC,22245,Retired,46380
202,Christine,Baker,1965-10-19,WI,83874,Part-Time,25919
203,Samantha,Turner,1956-02-02,OH,91016,Retired,45457
204,Shirley,Young,1986-11-18,NC,99783,Self-Employed,142299
205,Shirley,Reyes,1984-02-23,TN,36741,Full-Time,50087
206,Sharon,Taylor,1964-06-28,CO,58567,Self-Employed,157583
207,Dorothy,Jackson,1961-06-08,MO,22689,Unemployed,10945
