tradeline_id,report_id,creditor_name,account_reference,account_type,account_status_raw,section_group,date_opened,date_reported,last_activity_date,high_credit,credit_limit,balance,past_due_amount,late_30_count,late_60_count,late_90_count,bureau_source,credit_utilization_ratio,account_age_months,is_derogatory_flag
1,1,PNC Bank,ACCT0000001,Mortgage,AS AGREED,OPEN,2020-01-14,2021-09-19,2021-07-30,519968,519968,98315,0,0,0,0,,0.1891,21,0
2,1,KeyBank,ACCT0000002,Auto,AS AGREED,OPEN,2013-01-28,2021-09-16,2021-05-03,61321,0,23127,0,0,0,0,XP/TU,,105,0
3,1,GEMB/JCP,ACCT0000003,Mortgage,AS AGREED,OPEN,2020-02-17,2021-10-07,2021-08-16,163174,163174,58797,0,0,0,0,TU/EF,0.3603,20,0
4,1,Discover,ACCT0000004,Other,AS AGREED,OPEN,2018-01-11,2021-09-28,2021-06-08,1500,1500,1190,0,0,0,0,XP/TU,0.7933,45,0
5,1,Wells Fargo,ACCT0000005,Mortgage,CLOSED,CLOSED,2010-06-09,2021-09-05,2021-07-06,535522,535522,0,0,0,0,0,XP/TU/EF,0.0,136,0
6,1,Bank of America,ACCT0000006,Revolving,PAID,CLOSED,2014-12-20,2021-09-13,2021-05-30,3000,3000,0,0,0,0,0,EF,0.0,82,0
7,1,Fifth Third,ACCT0000007,Revolving,AS AGREED,OPEN,2011-08-13,2021-10-05,2021-06-13,10000,10000,200,0,0,0,0,TU/EF,0.02,122,0
8,1,Sallie Mae,ACCT0000008,Installment,AS AGREED,OPEN,2021-03-14,2021-09-03,2021-08-17,58775,0,40594,0,0,0,0,XP/TU/EF,,7,0
9,1,Navient,ACCT0000009,Other,AS AGREED,OPEN,2009-01-25,2021-09-18,2021-07-17,15000,15000,2269,0,0,0,0,XP/TU/EF,0.1513,153,0
10,1,Cavalry Portfolio,ACCT0000010,Other,AS AGREED,OPEN,2020-04-04,2021-10-06,2021-05-09,1500,1500,849,0,0,0,0,XP/TU,0.566,18,0
11,1,USAA,ACCT0000011,Other,AS AGREED,OPEN,2020-11-14,2021-09-07,2021-03-28,1000,1000,254,0,0,0,0,XP/EF,0.254,11,0
12,1,Synchrony,ACCT0000012,Auto,AS AGREED,OPEN,2017-07-29,2021-08-31,2021-04-11,54145,0,22767,0,0,0,0,XP/TU,,51,0
13,1,Verizon,ACCT0000013,Installment,AS AGREED,OPEN,2019-11-17,2021-09-20,2021-09-08,36786,0,11315,0,0,0,0,TU,,23,0
14,2,Santander,ACCT0000014,Installment,AS AGREED,OPEN,2013-09-24,2020-12-03,2020-07-25,48891,0,15914,0,0,0,0,XP/EF,,88,0
15,2,Navy Federal,ACCT0000015,Auto,AS AGREED,OPEN,2009-05-01,2021-01-12,2020-07-14,58906,0,13478,0,0,0,0,XP/TU,,140,0
